acronym,nb total mentions throught different rows,nb total mentions in text,mentions in text,num_variations,variations,Total True,Total False,True/False
CLE,33,33,"[(12, 1), (41, 1), (49, 1), (58, 1), (59, 1), (120, 1), (121, 1), (133, 1), (162, 1), (166, 1), (185, 1), (217, 1), (234, 1), (241, 1), (254, 1), (258, 1), (269, 1), (287, 1), (301, 1), (310, 1), (312, 1), (319, 1), (343, 1), (360, 1), (362, 1), (381, 1), (386, 1), (411, 1), (425, 1), (460, 1), (478, 1), (489, 1), (491, 1)]",2,"{""Consigne Locale d'Exploitation :  Le Service chargé de la gestion des circulations établit les Consignes Locales d'Exploitation (CLE) pour chaque gare, chantier ou établissement PL.  Elles servent de base pour l'élaboration des consignes et instructions opérationnelles des EF et du Service chargé de la gestion des circulations."", 'CLERMONT FERRAND'}",33,33,"{12: {'True': 1, 'False': 1}, 41: {'True': 1, 'False': 1}, 49: {'True': 1, 'False': 1}, 58: {'True': 1, 'False': 1}, 59: {'True': 1, 'False': 1}, 120: {'True': 1, 'False': 1}, 121: {'True': 1, 'False': 1}, 133: {'True': 1, 'False': 1}, 162: {'True': 1, 'False': 1}, 166: {'True': 1, 'False': 1}, 185: {'True': 1, 'False': 1}, 217: {'True': 1, 'False': 1}, 234: {'True': 1, 'False': 1}, 241: {'True': 1, 'False': 1}, 254: {'True': 1, 'False': 1}, 258: {'True': 1, 'False': 1}, 269: {'True': 1, 'False': 1}, 287: {'True': 1, 'False': 1}, 301: {'True': 1, 'False': 1}, 310: {'True': 1, 'False': 1}, 312: {'True': 1, 'False': 1}, 319: {'True': 1, 'False': 1}, 343: {'True': 1, 'False': 1}, 360: {'True': 1, 'False': 1}, 362: {'True': 1, 'False': 1}, 381: {'True': 1, 'False': 1}, 386: {'True': 1, 'False': 1}, 411: {'True': 1, 'False': 1}, 425: {'True': 1, 'False': 1}, 460: {'True': 1, 'False': 1}, 478: {'True': 1, 'False': 1}, 489: {'True': 1, 'False': 1}, 491: {'True': 1, 'False': 1}}"
SUD,1,1,"[(15, 1)]",4,"{'Surveillant dépôt', 'SAUMUR', 'point cardinal', 'Solidaires, unitaires, démocratiques ( syndicat )'}",1,3,"{15: {'True': 1, 'False': 3}}"
CSS,9,9,"[(16, 1), (62, 1), (186, 1), (222, 1), (239, 1), (251, 1), (256, 1), (421, 1), (470, 1)]",4,"{'Central Sous Station', 'CHALON SUR SAONE', 'Commande Standard Synchrone ', 'carte de sortie sécuritaire'}",9,11,"{16: {'True': 1, 'False': 3}, 62: {'True': 1, 'False': 3}, 186: {'True': 1, 'False': 3}, 222: {'True': 1, 'False': 3}, 239: {'True': 1, 'False': 3}, 251: {'True': 1, 'False': 3}, 256: {'True': 1, 'False': 3}, 421: {'True': 1, 'False': 3}, 470: {'True': 1, 'False': 3}}"
EF,42,49,"[(18, 2), (22, 1), (24, 1), (27, 1), (29, 1), (31, 1), (44, 1), (54, 1), (64, 2), (77, 2), (81, 1), (91, 1), (104, 2), (124, 1), (136, 1), (146, 1), (158, 2), (172, 1), (184, 1), (190, 1), (206, 1), (209, 1), (218, 2), (220, 1), (223, 1), (238, 1), (257, 1), (263, 1), (277, 1), (292, 1), (299, 1), (317, 1), (322, 1), (336, 1), (346, 1), (396, 1), (400, 1), (412, 1), (431, 1), (446, 1), (447, 2), (474, 1)]",6,"{'Etablissement flottant', 'Essai de Frein', 'Essai journalier (des freins)', 'Equipement fixe', 'Entreprise Ferroviaire :   Toute entreprise à statut privé ou public, qui a notamment obtenu une licence et un certificat de sécurité conformément à la législation applicable, fournissant des prestations de transport de marchandises ou de voyageurs par chemin de fer, la traction devant obligatoirement être assurée par cette entreprise . ce terme recouvre aussi les entreprises qui assurent uniquement la traction.', 'Escalier Fixe'}",42,46,"{18: {'True': 1, 'False': 5}, 22: {'True': 1, 'False': 5}, 24: {'True': 1, 'False': 5}, 27: {'True': 1, 'False': 5}, 29: {'True': 1, 'False': 5}, 31: {'True': 1, 'False': 5}, 44: {'True': 1, 'False': 5}, 54: {'True': 1, 'False': 5}, 64: {'True': 1, 'False': 5}, 77: {'True': 1, 'False': 5}, 81: {'True': 1, 'False': 5}, 91: {'True': 1, 'False': 5}, 104: {'True': 1, 'False': 5}, 124: {'True': 1, 'False': 5}, 136: {'True': 1, 'False': 5}, 146: {'True': 1, 'False': 5}, 158: {'True': 1, 'False': 5}, 172: {'True': 1, 'False': 5}, 184: {'True': 1, 'False': 5}, 190: {'True': 1, 'False': 5}, 206: {'True': 1, 'False': 5}, 209: {'True': 1, 'False': 5}, 218: {'True': 1, 'False': 5}, 220: {'True': 1, 'False': 5}, 223: {'True': 1, 'False': 5}, 238: {'True': 1, 'False': 5}, 257: {'True': 1, 'False': 5}, 263: {'True': 1, 'False': 5}, 277: {'True': 1, 'False': 5}, 292: {'True': 1, 'False': 5}, 299: {'True': 1, 'False': 5}, 317: {'True': 1, 'False': 5}, 322: {'True': 1, 'False': 5}, 336: {'True': 1, 'False': 5}, 346: {'True': 1, 'False': 5}, 396: {'True': 1, 'False': 5}, 400: {'True': 1, 'False': 5}, 412: {'True': 1, 'False': 5}, 431: {'True': 1, 'False': 5}, 446: {'True': 1, 'False': 5}, 447: {'True': 1, 'False': 5}, 474: {'True': 1, 'False': 5}}"
PK,1,4,"[(19, 4)]",2,"{'Plan de Contrôle', ""Point kilométrique : point de repère, matérialisé le long des voies ferrées, indiquant sa distance depuis un point d'origine pas obligatoirement sur la ligne (origine du chaînage\xa0: voir ci-dessus).""}",1,1,"{19: {'True': 1, 'False': 1}}"
BHR,11,11,"[(21, 1), (45, 1), (92, 1), (108, 1), (134, 1), (201, 1), (255, 1), (333, 1), (345, 1), (366, 1), (453, 1)]",3,"{'Bureau horaires régional', 'BLESLE', 'Base horaire régionale (alimentée par thor via harem - infrastructure)'}",11,12,"{21: {'True': 1, 'False': 2}, 45: {'True': 1, 'False': 2}, 92: {'True': 1, 'False': 2}, 108: {'True': 1, 'False': 2}, 134: {'True': 1, 'False': 2}, 201: {'True': 1, 'False': 2}, 255: {'True': 1, 'False': 2}, 333: {'True': 1, 'False': 2}, 345: {'True': 1, 'False': 2}, 366: {'True': 1, 'False': 2}, 453: {'True': 1, 'False': 2}}"
SLD,1,1,"[(23, 1)]",2,"{'Signal lumineux de départ', 'SALINDRES'}",1,1,"{23: {'True': 1, 'False': 1}}"
VO,2,2,"[(28, 1), (422, 1)]",3,"{'catégorie de document ', ""Valeur d'Objectif à atteindre lors de la construction d'une installation, la correction d'une anomalie classée en VA ou VI ou la régénération d'installation (maintenance voie et caténaire).    Les valeurs d'objectif constituent les intervalles de tolérance de réalisation des travaux de pose de voie neuve ou d'opération d'entretien programmés."", 'VOVES'}",2,3,"{28: {'True': 1, 'False': 2}, 422: {'True': 1, 'False': 1}}"
SE,6,6,"[(30, 1), (61, 1), (109, 1), (112, 1), (281, 1), (461, 1)]",7,"{'Service Electrique.  SEG : Service Electrique Général (HT/BT).  SES : Service Electrique Signalisation.   SET : Service Electrique Téléphonie.', 'Sous-ensemble', 'Soudure Electrique', 'SAINT ETIENNE CHATEAUCREUX', 'Secteur Elementaire', 'Sud Est : ces rames ont été radiées .', 'Signalisation Électrique'}",5,11,"{30: {'True': 0, 'False': 6}, 61: {'True': 1, 'False': 6}, 109: {'True': 0, 'False': 6}, 112: {'True': 0, 'False': 6}, 281: {'True': 1, 'False': 6}, 461: {'True': 0, 'False': 6}}"
TR,8,8,"[(32, 1), (83, 1), (175, 1), (182, 1), (212, 1), (341, 1), (395, 1), (448, 1)]",10,"{'TROYES', 'Température de référence', 'Téléphone régulateur', 'Translateur', 'Trafic et Exploitation', 'Transmission rigide', 'Transit', 'Tableau de roulement', 'filière Transports Routiers', 'Talonnable renversable'}",7,16,"{32: {'True': 0, 'False': 9}, 83: {'True': 0, 'False': 9}, 175: {'True': 0, 'False': 9}, 182: {'True': 0, 'False': 9}, 212: {'True': 0, 'False': 9}, 341: {'True': 0, 'False': 9}, 395: {'True': 1, 'False': 9}, 448: {'True': 1, 'False': 9}}"
BV,9,12,"[(33, 1), (67, 1), (127, 2), (171, 1), (252, 2), (286, 1), (302, 1), (308, 1), (427, 2)]",3,"{'Bureau de Vente', 'Bâtiment des Voyageurs : en langage courant, ce sont les gares.', 'Bassin Versant'}",9,10,"{33: {'True': 1, 'False': 2}, 67: {'True': 1, 'False': 2}, 127: {'True': 0, 'False': 3}, 171: {'True': 1, 'False': 2}, 252: {'True': 1, 'False': 2}, 286: {'True': 1, 'False': 2}, 302: {'True': 1, 'False': 2}, 308: {'True': 1, 'False': 2}, 427: {'True': 1, 'False': 2}}"
CCL,3,3,"[(34, 1), (294, 1), (309, 1)]",3,"{""Chef CircuLation : coordinateur-circulation d'un centre-circulation (infrastructure)"", 'Compte Client Local ', 'Commande Centralisée des Locomotives  '}",2,5,"{34: {'True': 0, 'False': 3}, 294: {'True': 1, 'False': 2}, 309: {'True': 0, 'False': 3}}"
RN,1,5,"[(35, 5)]",4,"{""Repos compensateur de nuit (régime autre que 132 repos en permanence ou sur un mois considéré). compteur crédité de 9 mn par heure ou fraction d'heure pour la période de 0h00 à 4h00"", 'ROUEN rive droite', 'Route national', 'Raccordement Nord'}",1,3,"{35: {'True': 1, 'False': 3}}"
EAS,18,18,"[(36, 1), (82, 1), (116, 1), (229, 1), (249, 1), (261, 1), (307, 1), (375, 1), (379, 1), (392, 1), (401, 1), (407, 1), (410, 1), (419, 1), (434, 1), (454, 1), (475, 1), (480, 1)]",2,"{'ETALANS', ""Équipement Agent Seul. Concrètement, pour qu'un train soit EAS, il faut que le matériel soit équipé : de moyens de surveillance lors d'arrêts en gare, de la commande de fermeture des portes, de la veille automatique (VA), de la radio sol-train (RST), de la sonorisation (annonces voyageurs), de la communication par interphonie en cas de signal d'alarme (SAI). Si toutes ces conditions sont réunies, le conducteur peut être le seul agent présent à bord du train.""}",18,18,"{36: {'True': 1, 'False': 1}, 82: {'True': 1, 'False': 1}, 116: {'True': 1, 'False': 1}, 229: {'True': 1, 'False': 1}, 249: {'True': 1, 'False': 1}, 261: {'True': 1, 'False': 1}, 307: {'True': 1, 'False': 1}, 375: {'True': 1, 'False': 1}, 379: {'True': 1, 'False': 1}, 392: {'True': 1, 'False': 1}, 401: {'True': 1, 'False': 1}, 407: {'True': 1, 'False': 1}, 410: {'True': 1, 'False': 1}, 419: {'True': 1, 'False': 1}, 434: {'True': 1, 'False': 1}, 454: {'True': 1, 'False': 1}, 475: {'True': 1, 'False': 1}, 480: {'True': 1, 'False': 1}}"
PSE,3,5,"[(37, 2), (303, 2), (479, 1)]",3,"{""Plan Sûreté d'Entreprise"", ""Plan de sauvegarde de l'emploi"", 'PONTOISE'}",2,5,"{37: {'True': 0, 'False': 3}, 303: {'True': 0, 'False': 3}, 479: {'True': 0, 'False': 3}}"
ET,2,2,"[(38, 1), (354, 1)]",9,"{'ETAIN', 'Pas un acronyme, ""et"" en majuscule', 'conj. ""ET""', 'En tension', 'Etablissement Traction', 'Embarquement TGV', 'En traitement', 'Entretien technique', 'Entrebaillement'}",2,8,"{38: {'True': 1, 'False': 7}, 354: {'True': 1, 'False': 7}}"
LGV,13,13,"[(39, 1), (78, 1), (107, 1), (130, 1), (188, 1), (296, 1), (330, 1), (349, 1), (378, 1), (390, 1), (393, 1), (432, 1), (477, 1)]",2,"{""Ligne à Grande Vitesse :  Ligne désignée comme telle dans la documentation d'exploitation, équipée d'une signalisation de cabine et sur laquelle la vitesse maximale autorisée est supérieure à 220 km/h. Est également désignée comme telle tout raccordement à une de ces lignes équipé d'une signalisation de cabine, quel que soit le taux de vitesse maximal autorisé."", 'LORRAINE TGV'}",13,13,"{39: {'True': 1, 'False': 1}, 78: {'True': 1, 'False': 1}, 107: {'True': 1, 'False': 1}, 130: {'True': 1, 'False': 1}, 188: {'True': 1, 'False': 1}, 296: {'True': 1, 'False': 1}, 330: {'True': 1, 'False': 1}, 349: {'True': 1, 'False': 1}, 378: {'True': 1, 'False': 1}, 390: {'True': 1, 'False': 1}, 393: {'True': 1, 'False': 1}, 432: {'True': 1, 'False': 1}, 477: {'True': 1, 'False': 1}}"
NG,9,12,"[(40, 1), (100, 1), (102, 1), (193, 4), (195, 1), (246, 1), (278, 1), (290, 1), (482, 1)]",4,"{'Non gardé', 'Notice générale', 'Nouvelle Génération', 'Référencement Réseau'}",9,11,"{40: {'True': 1, 'False': 3}, 100: {'True': 1, 'False': 2}, 102: {'True': 1, 'False': 2}, 193: {'True': 1, 'False': 2}, 195: {'True': 1, 'False': 2}, 246: {'True': 1, 'False': 2}, 278: {'True': 1, 'False': 2}, 290: {'True': 1, 'False': 2}, 482: {'True': 1, 'False': 2}}"
PL,15,18,"[(42, 1), (53, 1), (106, 1), (174, 1), (213, 2), (216, 1), (233, 1), (275, 1), (289, 1), (300, 1), (344, 2), (351, 1), (361, 1), (397, 2), (438, 1)]",2,"{""Pleine Ligne.     Établissement de Pleine Ligne : lieu spécialement aménagé pour le départ, l'arrêt, l'arrivée, le garage ou les manoeuvres des trains, normalement fermé au service de la circulation."", 'Panneaux lumineux'}",14,16,"{42: {'True': 0, 'False': 2}, 53: {'True': 1, 'False': 1}, 106: {'True': 0, 'False': 2}, 174: {'True': 1, 'False': 1}, 213: {'True': 0, 'False': 2}, 216: {'True': 1, 'False': 1}, 233: {'True': 0, 'False': 2}, 275: {'True': 0, 'False': 2}, 289: {'True': 1, 'False': 1}, 300: {'True': 1, 'False': 1}, 344: {'True': 1, 'False': 1}, 351: {'True': 1, 'False': 1}, 361: {'True': 0, 'False': 2}, 397: {'True': 0, 'False': 2}, 438: {'True': 1, 'False': 1}}"
CCT,3,3,"[(46, 1), (55, 1), (291, 1)]",7,"{'Carte contrôle compensation de température', 'Comité des choix technologiques (informatique)', 'Chef Circulation Triage', 'Commande Centralisée des Trains', 'Cessation Concertée du Travail', 'CERCOTTES', 'Commande Centralisée du Trafic.'}",3,8,"{46: {'True': 1, 'False': 6}, 55: {'True': 1, 'False': 5}, 291: {'True': 1, 'False': 5}}"
AGC,37,37,"[(52, 1), (105, 1), (110, 1), (139, 1), (141, 1), (153, 1), (210, 1), (215, 1), (237, 1), (253, 1), (265, 1), (266, 1), (279, 1), (280, 1), (314, 1), (315, 1), (323, 1), (328, 1), (332, 1), (334, 1), (338, 1), (339, 1), (356, 1), (358, 1), (364, 1), (380, 1), (383, 1), (403, 1), (424, 1), (435, 1), (440, 1), (443, 1), (444, 1), (449, 1), (458, 1), (472, 1), (481, 1)]",4,"{'Accord européen sur les Grandes lignes de Chemin de fer du 31 mai 1985', 'ARGENTON SUR CREUSE', 'Autorail Grande Capacité  ', ""<span style='font-size:11.0pt'><span>Automoteur de Grande Capacité, construit par Bombardier. Famille d'automoteurs articulés de la SNCF dédiée au trafic TER et apte à 160 km/h. Cette famille est composée de 4 séries : - XGC : X 76500, version thermique (diesel) - ZGC : Z 27500, version électrique bi-tension (1,5 kV continu, 25 kV alternatif) - BGC : B 81500, version bi-mode (thermique et électrique 1,5 kV continu) - Bibi ou BBGC : B 82500, version bi-mode (thermique et électrique) et bi-tension (1,5 kV continu, 25 kV alternatif).</span></span>""}",37,39,"{52: {'True': 1, 'False': 3}, 105: {'True': 1, 'False': 3}, 110: {'True': 1, 'False': 3}, 139: {'True': 1, 'False': 3}, 141: {'True': 0, 'False': 4}, 153: {'True': 1, 'False': 3}, 210: {'True': 1, 'False': 3}, 215: {'True': 1, 'False': 3}, 237: {'True': 1, 'False': 3}, 253: {'True': 1, 'False': 3}, 265: {'True': 1, 'False': 3}, 266: {'True': 1, 'False': 3}, 279: {'True': 1, 'False': 3}, 280: {'True': 1, 'False': 3}, 314: {'True': 1, 'False': 3}, 315: {'True': 1, 'False': 3}, 323: {'True': 1, 'False': 3}, 328: {'True': 1, 'False': 3}, 332: {'True': 1, 'False': 3}, 334: {'True': 1, 'False': 3}, 338: {'True': 1, 'False': 3}, 339: {'True': 1, 'False': 3}, 356: {'True': 1, 'False': 3}, 358: {'True': 1, 'False': 3}, 364: {'True': 1, 'False': 3}, 380: {'True': 1, 'False': 3}, 383: {'True': 1, 'False': 3}, 403: {'True': 1, 'False': 3}, 424: {'True': 1, 'False': 3}, 435: {'True': 1, 'False': 3}, 440: {'True': 2, 'False': 2}, 443: {'True': 1, 'False': 3}, 444: {'True': 1, 'False': 3}, 449: {'True': 1, 'False': 3}, 458: {'True': 1, 'False': 3}, 472: {'True': 1, 'False': 3}, 481: {'True': 1, 'False': 3}}"
