option,nb_trues,nb_false,nb_variations,variations
"Consigne Locale d'Exploitation :  Le Service chargé de la gestion des circulations établit les Consignes Locales d'Exploitation (CLE) pour chaque gare, chantier ou établissement PL.  Elles servent de base pour l'élaboration des consignes et instructions opérationnelles des EF et du Service chargé de la gestion des circulations.",33,0,0,[]
"Solidaires, unitaires, démocratiques ( syndicat )",0,1,0,[]
point cardinal,1,0,0,[]
SAUMUR,0,1,0,[]
Surveillant dépôt,0,1,0,[]
Central Sous Station,9,0,1,"[""Régulateur Sous Stations : Agent chargé à partir d'un central sous-stations de l'exploitation des installations électriques de sa zone d'action.""]"
Commande Standard Synchrone ,0,9,0,[]
carte de sortie sécuritaire,0,9,0,[]
CHALON SUR SAONE,0,9,0,[]
"Entreprise Ferroviaire :   Toute entreprise à statut privé ou public, qui a notamment obtenu une licence et un certificat de sécurité conformément à la législation applicable, fournissant des prestations de transport de marchandises ou de voyageurs par chemin de fer, la traction devant obligatoirement être assurée par cette entreprise . ce terme recouvre aussi les entreprises qui assurent uniquement la traction.",41,1,0,[]
Essai de Frein,1,41,0,[]
Escalier Fixe,0,42,0,[]
Equipement fixe,0,42,0,[]
Etablissement flottant,0,42,0,[]
Essai journalier (des freins),0,42,0,[]
Plan de Contrôle,0,1,0,[]
"Point kilométrique : point de repère, matérialisé le long des voies ferrées, indiquant sa distance depuis un point d'origine pas obligatoirement sur la ligne (origine du chaînage : voir ci-dessus).",1,0,0,[]
Base horaire régionale (alimentée par thor via harem - infrastructure),3,8,0,[]
Bureau horaires régional,8,3,0,[]
BLESLE,0,11,0,[]
SALINDRES,0,1,0,[]
Signal lumineux de départ,1,0,0,[]
"Valeur d'Objectif à atteindre lors de la construction d'une installation, la correction d'une anomalie classée en VA ou VI ou la régénération d'installation (maintenance voie et caténaire).    Les valeurs d'objectif constituent les intervalles de tolérance de réalisation des travaux de pose de voie neuve ou d'opération d'entretien programmés.",1,1,0,[]
VOVES,0,2,0,[]
catégorie de document ,1,0,0,[]
Soudure Electrique,0,6,0,[]
Signalisation Électrique,0,6,0,[]
Sous-ensemble,0,6,0,[]
Secteur Elementaire,0,6,0,[]
Service Electrique.  SEG : Service Electrique Général (HT/BT).  SES : Service Electrique Signalisation.   SET : Service Electrique Téléphonie.,0,6,0,[]
SAINT ETIENNE CHATEAUCREUX,0,6,0,[]
TROYES,0,8,0,[]
Talonnable renversable,0,8,0,[]
Tableau de roulement,0,8,0,[]
filière Transports Routiers,0,8,0,[]
Température de référence,0,8,0,[]
Transit,0,8,0,[]
Transmission rigide,0,8,0,[]
Téléphone régulateur,0,8,0,[]
Translateur,0,8,0,[]
"Bâtiment des Voyageurs : en langage courant, ce sont les gares.",8,1,0,[]
Bassin Versant,0,9,0,[]
Bureau de Vente,0,9,0,[]
Commande Centralisée des Locomotives  ,0,3,0,[]
Compte Client Local ,0,3,0,[]
Chef CircuLation : coordinateur-circulation d'un centre-circulation (infrastructure),1,2,0,[]
Repos compensateur de nuit (régime autre que 132 repos en permanence ou sur un mois considéré). compteur crédité de 9 mn par heure ou fraction d'heure pour la période de 0h00 à 4h00,0,1,0,[]
Route national,0,1,0,[]
Raccordement Nord,1,0,1,['RACCORDEMENT de  FOLLIGNY OUEST ']
ROUEN rive droite,0,1,1,['Rouen Rive Droite ']
"Équipement Agent Seul. Concrètement, pour qu'un train soit EAS, il faut que le matériel soit équipé : de moyens de surveillance lors d'arrêts en gare, de la commande de fermeture des portes, de la veille automatique (VA), de la radio sol-train (RST), de la sonorisation (annonces voyageurs), de la communication par interphonie en cas de signal d'alarme (SAI). Si toutes ces conditions sont réunies, le conducteur peut être le seul agent présent à bord du train.",18,0,0,[]
ETALANS,0,18,0,[]
PONTOISE,0,3,0,[]
Plan de sauvegarde de l'emploi,0,3,0,[]
Plan Sûreté d'Entreprise,0,3,0,[]
En tension,0,2,1,['Transformateur de tension']
Etablissement Traction,0,2,0,[]
Entretien technique,0,2,0,[]
ETAIN,0,2,0,[]
En traitement,0,2,0,[]
Entrebaillement,0,2,0,[]
Embarquement TGV,0,2,0,[]
"Pas un acronyme, ""et"" en majuscule",1,0,0,[]
LORRAINE TGV,0,13,0,[]
"Ligne à Grande Vitesse :  Ligne désignée comme telle dans la documentation d'exploitation, équipée d'une signalisation de cabine et sur laquelle la vitesse maximale autorisée est supérieure à 220 km/h. Est également désignée comme telle tout raccordement à une de ces lignes équipé d'une signalisation de cabine, quel que soit le taux de vitesse maximal autorisé.",13,0,0,[]
Non gardé,1,8,0,[]
Nouvelle Génération,1,8,0,[]
Notice générale,6,3,0,[]
Référencement Réseau,2,0,0,[]
Panneaux lumineux,1,14,0,[]
"Pleine Ligne.     Établissement de Pleine Ligne : lieu spécialement aménagé pour le départ, l'arrêt, l'arrivée, le garage ou les manoeuvres des trains, normalement fermé au service de la circulation.",7,8,0,[]
Cessation Concertée du Travail,0,3,0,[]
Comité des choix technologiques (informatique),0,3,0,[]
Commande Centralisée des Trains,1,0,2,"['Commande Centralisée du Trafic.', 'Commande Centralisée des Locomotives  ']"
Chef Circulation Triage,0,3,0,[]
CERCOTTES,0,3,0,[]
Commande Centralisée du Trafic.,2,1,0,[]
Carte contrôle compensation de température,0,3,0,[]
Autorail Grande Capacité  ,33,4,0,[]
"<span style='font-size:11.0pt'><span>Automoteur de Grande Capacité, construit par Bombardier. Famille d'automoteurs articulés de la SNCF dédiée au trafic TER et apte à 160 km/h. Cette famille est composée de 4 séries : - XGC : X 76500, version thermique (diesel) - ZGC : Z 27500, version électrique bi-tension (1,5 kV continu, 25 kV alternatif) - BGC : B 81500, version bi-mode (thermique et électrique 1,5 kV continu) - Bibi ou BBGC : B 82500, version bi-mode (thermique et électrique) et bi-tension (1,5 kV continu, 25 kV alternatif).</span></span>",3,34,0,[]
ARGENTON SUR CREUSE,0,37,0,[]
Accord européen sur les Grandes lignes de Chemin de fer du 31 mai 1985,1,36,0,[]
Sud Est : ces rames ont été radiées .,2,0,0,[]
"Ordre de production : commande de constituant(s) ou d'ensemble(s) passée par un client interne SNCF dans l'ERP ''ÉLAN''vers des fournisseurs internes (EIV, par exemple) dans le système de GPAO ''VÉGA''.",0,1,0,[]
Opérateur de production,0,1,0,[]
"OPposable.  Un texte OPposable est un document qui impose des exigences, des règles, des prescriptions, des manières de faire,...  et qui doit être appliqué par les entreprises ferroviaires autorisées à exploiter tout ou partie du réseau ferré national en ce qui concerne la France. Un texte opposable est un texte qui, en cas de problème, pourrait être opposé à celui qui aurait dû en appliquer les prescriptions.     Les obligations réglementaires, issues du décret nḞ2006-1279 et de l'arrêté du 23 juin 2003 modifié par l'arrêté du 7 novembre 2006 et de l'arrêté réglementation global du...., relatives à la sécurité de l'exploitation sur le RFN, applicables par l'ensemble des entreprises ferroviaires autorisées, ont conduit à créer une nature de texte dite  texte opposable afin de pouvoir aisément isoler cette documentation. Cette documentation dite opposable applicable par toutes les entreprises ferroviaires et le GID. ",1,0,0,[]
Direction Territoriale  ou Directeur Territorial,0,11,0,[]
Détonateur,0,11,1,"[""Poste d'aiguillage informatisé : la saisie de la commande, l'ordre d'exécution pour les installations de voie et les enclenchements sont informatisés. la transmission des ordres entre le poste et les installations en campagne se fait, non plus par liaison en cuivre mais, par fibre optique. le pai est adapté du ssi (solid state interlocking - enclenchements à base de circuits intégrés) développé en 1985 par gec pour les br. un pai est constitué de 4 niveaux : n0 : mintex + mckt, n1 : armoires d'enclenchements + armoire technique (pc industriel, enregistreur à bande magnétique, imprimante, clavier, souris, écran, modem), n2 : modules en campagne (mc : mcs, signaux - mca, aiguilles - mces, entrées-sorties), n3 : installations de la voie (signaux, aiguilles, crocodiles, détonateurs, circuits de voie...) (voir edlm, odlm)""]"
Disposition technique,0,11,0,[]
Déclaration de Travaux faite pour recenser les réseaux à proximité des travaux à réaliser.    Voir glossaire du guide de management des projets (p.202),0,11,0,[]
"Double Traction :  Mode de traction d'une circulation par deux machines placées en tête, chaque machine est commandée par un conducteur.",10,1,0,[]
Dossier Estimatif.,0,10,0,[]
Desarmement,2,8,0,[]
Demande d'essai,0,10,0,[]
DIEPPE,0,10,0,[]
"Détecteur d'Éboulements.  Dispositif relié à des filets en zone de danger d'éboulement, permettant d'avertir le personnel de l'établissement correspondant lors d'un éboulement sur la ligne.",0,10,0,[]
Données d'entrée.,1,9,0,[]
Relation à grand parcours,0,1,0,[]
Relation grand parcours,0,1,2,"['Relation à grand parcours', 'Éléments automoteurs diesel type relation grand parcours']"
ROUGEMONT CHANTELOUP,0,1,0,[]
Éléments automoteurs diesel type relation grand parcours,1,0,0,[]
"Préposition ""par""",1,0,0,[]
IRUN,0,1,0,[]
Infrastructure,1,0,9,"['Direction régionale infrastructure', ""Attestation de Compatibilité du matériel roulant à l'infrastructure"", 'Base horaire régionale (alimentée par thor via harem - infrastructure)', ""Chef CircuLation : coordinateur-circulation d'un centre-circulation (infrastructure)"", 'Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)', 'Dirigeant Régional Infrastucture en poste 7/7 24/24 pour assurer la gestion de crise régionale en lien avec le DRC (Circulations) et le DRO (Opérations).', ""Protection de courte durée : méthode de protection des opérations engageant fugitivement le gabarit d'une voie à l'occasion des travaux de maintenance de l'infrastructure"", ""Gestionnaire d'Infrastructure Délégué :   Organisme, mentionné à l'article 9 du décret 2006-1279 modifié, chargé de la gestion du trafic et des circulations ainsi que du fonctionnement et de l'entretien des installations de sécurité et, le cas échéant, des installations techniques du réseau ferré national."", ""Droit de Circulation (redevance d'infrastructure) : calculé sur la base des unités d'oeuvre de BTBU (sillons réels). S'applique à toute circulation (train, évolution et manoeuvre) sur les VP du RFN (sauf circulation pour le compte du GI). Il est égal au produit de la distance parcourue par un prix kilométrique de la catégorie de circulation (HLP, fret, autre) en y intégrant les ESD (entrées, sorties dépôt) et les MCR (manoeuvres en cours de route) décomptées pour 1/3 sur les VP et pour 2/3 sur les VS (voir DA, DRS, DRAG,RCE)""]"
Indemnité horaire de nuit,0,1,0,[]
Intermédiaire,0,1,0,[]
"article ""de""",1,0,0,[]
Journée chômée supplémentaire pour les agents travaillant à temps partiel,0,1,0,[]
Visite technique (matériel),0,1,0,[]
VenTilateur,0,1,0,[]
Vérifications techniques,0,1,4,"['Spécifications techniques', ""Spécifications techniques d'interopérabilité"", ""Spécifications Techniques d'Interface : ce sont des normes que doivent respecter les équipements terminaux pour pouvoir se connecter au réseau d'un opérateur dans l'industrie des télécommunications."", ""Spécifications Techniques d'Interopérabilité (des trains) :  Spécifications que chaque sous-système ou, le cas échéant, partie de sous-système, et ses constituants doivent respecter pour satisfaire aux exigences essentielles reprises en annexe du décret nḞ2006-1279 . les spécifications techniques d'interopérabilité, fixées au niveau communautaire, sont publiées au Journal officiel de l'Union européenne.""]"
VERTOU,0,1,0,[]
Voie de transmission,0,1,0,[]
Enquête publique,0,6,0,[]
"Entretien Professionnel :   Il constitue un moment clé d'échange, consacré aux perspectives d'évolution professionnelle, notamment en termes de qualification et d'emploi. Il permet de faire le point sur les acquis des formations déjà suivies et d'identifier les besoins de développement des compétences du salarié. C'est une obligation légale. Il est préconisé de le réaliser au moment de l'entretien individuel d'appréciation (EIA) ou du rendez-vous professionnel individuel annuel (RPIA).",0,6,0,[]
Etude Préliminaire,0,6,0,[]
canalisation des Eaux Pluviales,0,6,0,[]
Exercice pratique,0,6,0,[]
Enclenchement de proximité,0,6,0,[]
Équipe-projet,0,6,0,[]
Embranchement particulier,5,1,0,[]
Échange Prenant,0,6,0,[]
Etablissement public,0,6,0,[]
Empreinte de patinage,0,6,0,[]
Centre de relations clientèle,0,2,0,[]
CERENCES,0,2,0,[]
Contrôle de Redondance Cyclique ou Cyclical Redundancy Check :  système de calcul garantissant l'intégrité des données transmises ( vérification de parité),0,2,0,[]
Centre régional de conduite,0,2,0,[]
Compte Rendu de Caisse,0,2,0,[]
Coordonnateur Régional des Circulations,2,0,0,[]
Zone inondable,0,1,0,[]
Zone isolée,0,1,0,[]
SALBRIS,0,8,0,[]
"Signal d'Alerte Lumineux. C'est le clignotement des projecteurs d'un train, indiquant aux circulations circulant dans l'autre sens d'un éventuel danger immédiat. Le SAL ordonne à tous les conducteurs l'apercevant de s'arrêter d'urgence.",4,4,0,[]
Interrupteur de pontage,0,2,0,[]
Insuffisance de Perception,0,2,0,[]
Industrie privée,0,2,0,[]
Identification Potentiel,0,2,0,[]
Double Champignon (rail),0,1,0,[]
DANNES CAMIERS,0,1,0,[]
Dossier Client,0,1,0,[]
Département Comptable,0,1,0,[]
Dossier de contrôle,0,1,0,[]
Décondamnation,0,1,0,[]
"Droit de Circulation (redevance d'infrastructure) : calculé sur la base des unités d'oeuvre de BTBU (sillons réels). S'applique à toute circulation (train, évolution et manoeuvre) sur les VP du RFN (sauf circulation pour le compte du GI). Il est égal au produit de la distance parcourue par un prix kilométrique de la catégorie de circulation (HLP, fret, autre) en y intégrant les ESD (entrées, sorties dépôt) et les MCR (manoeuvres en cours de route) décomptées pour 1/3 sur les VP et pour 2/3 sur les VS (voir DA, DRS, DRAG,RCE)",0,1,0,[]
Documents Conformes,0,1,0,[]
Maintenance préventive,0,1,0,[]
Matériel pneumatique,0,1,0,[]
MASSY PALAISEAU,0,1,0,[]
Marche prudente : l'obligation de marcher avec prudence . impose au conducteur de franchir une partie de voie délimitée en réduisant sa vitesse compte tenu du motif qui lui a été indiqué.,0,1,0,[]
SAINT GEORGES DE COMMIERS,0,5,0,[]
Système de gestion de contenu,0,5,0,[]
"Pas un acronyme, ""de"" en majuscule",2,0,0,[]
Voie libre ( feu vert ),0,2,0,[]
VENIZEL,0,2,0,[]
Vitesse Limite,2,0,0,[]
Visite Limitée,0,2,0,[]
movement authority,0,2,0,[]
Maintenance et appui,0,2,0,[]
Manuel / automatique,0,2,0,[]
Marche arrêt,0,2,0,[]
Maladie,0,2,0,[]
Boîte aux lettres,0,2,0,[]
BALE,0,2,0,[]
Block Automatique Lumineux,2,0,1,"[""Block Automatique Lumineux : signalisation latérale pour la gestion et la régulation des circulations ferroviaires.  Le cantonnement ou l'espacement  des trains s'effectue de manière automatique, sans intervention humaine (sauf pour les points de bifurcation ou zones d'aiguillages). C'est le type de cantonnement utilisé sur toute la ligne D. Il présente un double avantage : offre un niveau élevé de sécurité et un débit ferroviaire important. L'inconvénient de ce type d'espacement est qu'il est très coûteux (nombre de signaux).""]"
"Block Automatique Lumineux : signalisation latérale pour la gestion et la régulation des circulations ferroviaires.  Le cantonnement ou l'espacement  des trains s'effectue de manière automatique, sans intervention humaine (sauf pour les points de bifurcation ou zones d'aiguillages). C'est le type de cantonnement utilisé sur toute la ligne D. Il présente un double avantage : offre un niveau élevé de sécurité et un débit ferroviaire important. L'inconvénient de ce type d'espacement est qu'il est très coûteux (nombre de signaux).",2,0,0,[]
Direction régionale infrastructure,0,2,0,[]
DIEMERINGEN,0,2,0,[]
Dirigeant Régional Infrastucture en poste 7/7 24/24 pour assurer la gestion de crise régionale en lien avec le DRC (Circulations) et le DRO (Opérations).,0,2,0,[]
Poste de secours local,0,2,0,[]
PARIS ST LAZARE,2,0,0,[]
Tableau lumineux de correspondance pour voies convergentes,1,0,0,[]
Tableau lumineux pour voies convergentes,1,0,0,[]
Battement à Blanc,0,1,0,[]
2 essieux moteur par bogie,0,1,0,[]
BLANGY SUR BRESLE,0,1,0,[]
Bouton de Franchissement de signal Carré - bouton présent sur le KVB en cabine de conduite ,0,1,0,[]
Budget de Fonctionnement Courant  ,0,1,0,[]
Pôle locatif meublés,0,3,0,[]
Ligne Paris-Lyon-Marseille (Paris-Lyon-Méditerranée),3,0,0,[]
"Product Lifecycle Management.Le PLM est l'extension du PDM (Product Data Management, circonscrit au périmètre de&nbsp;l'Ingénierie) à toute la chaine de gestion du cycle de vie du Produit, depuis la spécification des exigences jusqu'à la fin de vie, en passant par la maitrise de la définition du Matériel et les nécessités du MCO (Maintien en Conditions Opérationnelles) : Mise en service, Maintenance, Réparation, Approvisionnements, Achats...",0,3,0,[]
"Nom d'une ancienne compagnie ferroviaire française, la compagnie des chemins de fer de paris à lyon et à la méditerranée.",0,3,0,[]
PARAY LE MONIAL,0,3,0,[]
"Ouvrage d'art (liste des oa, calcul des points oa, statistiques)",0,1,0,[]
Opération Accidentelle,0,1,0,[]
radio et système de surface,0,4,0,[]
Régulateur Sous Stations : Agent chargé à partir d'un central sous-stations de l'exploitation des installations électriques de sa zone d'action.,4,0,0,[]
ROSNY SUR SEINE,0,4,0,[]
poste de commande à distance,2,0,0,[]
Protection de courte durée : méthode de protection des opérations engageant fugitivement le gabarit d'une voie à l'occasion des travaux de maintenance de l'infrastructure,0,2,0,[]
Potentiel Cadre Dirigeant,0,2,0,[]
Rennes Dépôt,0,1,0,[]
Rouen Rive Droite ,1,0,0,[]
Refonte de desserte,0,1,0,[]
Redresseur,0,1,0,[]
Ensemble de 2 ou 3 repos périodiques accolés au cours d'une année,0,1,0,[]
Route départemental,0,1,0,[]
Remiseur/dégareur,0,1,0,[]
Information Voyageur,0,1,0,[]
Pas un acronyme : chiffre 4 en chiffre romain,1,0,0,[]
Inspection Visuelle entre chaque train,0,1,0,[]
IVRY SUR SEINE,0,1,0,[]
Inverse,0,1,0,[]
Direction de l'equipement,0,1,0,[]
limite de manoeuvre,1,0,0,[]
LE MANS,0,1,0,[]
Traverse Métallique,0,2,0,[]
filière Transport-Mouvement,0,2,0,[]
Total maximal,0,2,0,[]
Transport Massif.  Envoi dont le tonnage et / ou le nombre de wagons déterminent des conditions d'acceptation et d'acheminement spécifiques.,1,1,0,[]
Technicentre de Maintenance,0,2,0,[]
"Ticket modérateur : part des frais qui, en fonction du taux de remboursement applicable au bénéficiaire de soins, n'est pas remboursé",0,2,0,[]
Train de Machines,1,1,0,[]
Tablier métallique,0,2,0,[]
"conj. ""ET""",1,0,0,[]
ROCHEFORT,0,2,0,[]
Rédacteur Consigne,0,2,0,[]
Raccordement Circulaire,0,2,0,[]
Renfort Clientèle,0,2,0,[]
Résistance de continuité,0,2,0,[]
Réservoir de Commande,0,2,0,[]
Redevance de circulation,0,2,0,[]
Repos compensateur,0,2,1,"[""Repos compensateur de nuit (régime autre que 132 repos en permanence ou sur un mois considéré). compteur crédité de 9 mn par heure ou fraction d'heure pour la période de 0h00 à 4h00""]"
Roue codeuse,0,2,0,[]
Remise en Conformité,0,2,0,[]
Retour chantier ,0,2,0,[]
Responsabilité civile,0,2,0,[]
Service chargé de la Gestion des Circulations,1,0,1,"[""Consigne Locale d'Exploitation :  Le Service chargé de la gestion des circulations établit les Consignes Locales d'Exploitation (CLE) pour chaque gare, chantier ou établissement PL.  Elles servent de base pour l'élaboration des consignes et instructions opérationnelles des EF et du Service chargé de la gestion des circulations.""]"
"Tram Train :  Véhicule doté d'installations motrices, aménagé pour le transport de voyageurs, dont la source d'énergie est l'électricité et conçu pour circuler sur les voies du réseau ferré national et sur les voies urbaines empruntées par des tramways.",0,1,0,[]
Terminal Technique (outil d'aide à la maintenance PAI),0,1,0,[]
"Tête des Trains. Pancarte carrée avec l'inscription  TT  en blanc sur fond noir. Signifie que, quelle que soit la longueur du train, celui-ci s'arrêtera systématiquement au bout du quai. En l'absence de pancarte TT, d'autres pancartes indiquent l'arret des trains selon leur longueur (nombre de voitures)",0,1,0,[]
TRICOT,0,1,0,[]
TéléTravail,0,1,0,[]
schéma de neutre TT (neutre de l'installation et masses reliés à la Terre)  ,0,1,0,[]
Transformateur de tension,0,1,0,[]
Transport Traction,0,1,0,[]
Transmetteur,0,1,0,[]
Voie MG :dénomination de la voie ,2,0,0,[]
Mesure générale,0,2,0,[]
MOYEUVRE GRANDE,0,2,0,[]
Spécifications techniques,0,1,0,[]
SAILLAT CHASSENON,1,0,0,[]
Sectionneur de Terre,0,1,0,[]
Stationnement,0,1,0,[]
Service Telecom,0,1,1,['Service Electrique.  SEG : Service Electrique Général (HT/BT).  SES : Service Electrique Signalisation.   SET : Service Electrique Téléphonie.']
Sous-traitant,0,1,0,[]
Service Terminé (Z FP-ST).    Commutateur ḋ Fermeture Porte Service Terminé Ṡ,0,1,0,[]
Système de Transmission de Données,0,1,0,[]
Semaine Type Détaillée,0,1,0,[]
Grand centre,0,1,0,[]
Génie Civil,0,1,0,[]
Grande Ceinture,1,0,0,[]
"Graphique de circulation : représentation sur deux axes, espace et temps, de l'utilisation de la capacité d'une ligne ferroviaire (se traduisant à la fois par des sillons et par des plages de maintenance). en suisse le terme utilisé est horaire graphique.",0,1,0,[]
Service de gestion des circulations ,1,0,0,[]
Trafic et Exploitation,2,0,0,[]
Paris rive gauche,0,1,0,[]
Poste d'aiguillage tous relais géographique à câblage standard. capacité de 30 à 100 itin. pas de gestion des protections mais coût très < à prci ou pai. télécommandable mais par un autre prg (homogénéité système). enregistrement limité à 24 itinéraires par zone commandée,1,0,0,[]
PREIGNAC,0,1,0,[]
Automatic Train Operation,1,0,1,"[""Automatic Train Opération. C'est-à-dire le pilotage automatique.""]"
EP ATO,0,1,0,[]
Automatic Train Opération. C'est-à-dire le pilotage automatique.,1,0,0,[]
Avis de Travaux Occasionnels  ,0,1,0,[]
Techniques d'Intervention Professionnelle (cellule),0,1,0,[]
Tableau lumineux indicateur de provenance,1,0,0,[]
"Voie unique: régime d'exploitation d'une ligne dans lequel les trains des deux sens circulent sur la même voie, les mesures à prendre pour éviter la rencontre de deux trains de sens contraire étant définies par les règlements ou par une consigne. sur ce type de ligne, les trains de sens impair sont ceux qui s'éloignent du point kilométrique d'origine de celle-ci, tandis que les trains de sens pair sont ceux qui s'en rapprochent.",1,0,0,[]
Voiture à compartiment,0,1,0,[]
Chef de Groupe,0,1,0,[]
CHAMPAGNE,0,1,1,"[""Poste d'aiguillage informatisé : la saisie de la commande, l'ordre d'exécution pour les installations de voie et les enclenchements sont informatisés. la transmission des ordres entre le poste et les installations en campagne se fait, non plus par liaison en cuivre mais, par fibre optique. le pai est adapté du ssi (solid state interlocking - enclenchements à base de circuits intégrés) développé en 1985 par gec pour les br. un pai est constitué de 4 niveaux : n0 : mintex + mckt, n1 : armoires d'enclenchements + armoire technique (pc industriel, enregistreur à bande magnétique, imprimante, clavier, souris, écran, modem), n2 : modules en campagne (mc : mcs, signaux - mca, aiguilles - mces, entrées-sorties), n3 : installations de la voie (signaux, aiguilles, crocodiles, détonateurs, circuits de voie...) (voir edlm, odlm)""]"
Contrôle de Gare (bouclage),0,1,0,[]
Calage,0,1,0,[]
Conduite Générale (du frein à air d'un train).  Il s'agit de la ligne de commande du freinage dans le système de frein pneumatique.,1,0,0,[]
Système de gestion des circulations,1,0,1,['Service de gestion des circulations ']
LYON VAISE,0,1,0,[]
Ligne de voie,1,0,0,[]
"Poste d'aiguillage informatisé : la saisie de la commande, l'ordre d'exécution pour les installations de voie et les enclenchements sont informatisés. la transmission des ordres entre le poste et les installations en campagne se fait, non plus par liaison en cuivre mais, par fibre optique. le pai est adapté du ssi (solid state interlocking - enclenchements à base de circuits intégrés) développé en 1985 par gec pour les br. un pai est constitué de 4 niveaux : n0 : mintex + mckt, n1 : armoires d'enclenchements + armoire technique (pc industriel, enregistreur à bande magnétique, imprimante, clavier, souris, écran, modem), n2 : modules en campagne (mc : mcs, signaux - mca, aiguilles - mces, entrées-sorties), n3 : installations de la voie (signaux, aiguilles, crocodiles, détonateurs, circuits de voie...) (voir edlm, odlm)",1,0,0,[]
Permanent Acheminement Infra,0,1,0,[]
Provision pour aléas et incertitudes : dans un budget prévisionnel de projet,0,1,0,[]
PASILLY PRS 17,0,1,0,[]
Spécifications Techniques d'Interface : ce sont des normes que doivent respecter les équipements terminaux pour pouvoir se connecter au réseau d'un opérateur dans l'industrie des télécommunications.,0,1,0,[]
Subdivision terminale intérieur,0,1,0,[]
"Spécifications Techniques d'Interopérabilité (des trains) :  Spécifications que chaque sous-système ou, le cas échéant, partie de sous-système, et ses constituants doivent respecter pour satisfaire aux exigences essentielles reprises en annexe du décret nḞ2006-1279 . les spécifications techniques d'interopérabilité, fixées au niveau communautaire, sont publiées au Journal officiel de l'Union européenne.",1,0,0,[]
système de transport intelligent,0,1,0,[]
Spécifications techniques d'interopérabilité,0,1,0,[]
STAINS,0,1,0,[]
RACCORDEMENT de  FOLLIGNY OUEST ,1,0,0,[]
Document unique,0,1,0,[]
"Pas un acronyme, c'est du = de le : ""Du km… au km…""",1,0,0,[]
Dispositif de coupure d'Urgence : dispositif de mise hors tension rapide d'un ensemble d'éléments de caténaire en cas d'incident ou d'accident.,0,1,0,[]
DUGNY,0,1,0,[]
Draisine Unifiée,0,1,0,[]
Dirigeant d'unité,0,1,0,[]
Diagramme d'Utilisation,0,1,0,[]
Contrôle des Mobiles Travaux,0,1,0,[]
Contrat Multi Technique,0,1,0,[]
Connaissance et maîtrise du territoire,0,1,0,[]
CHAMP-ST-PÈRE,0,1,0,[]
Pas un acronyme,0,0,4,"['Pas un acronyme, ""et"" en majuscule', 'Pas un acronyme, ""de"" en majuscule', 'Pas un acronyme : chiffre 4 en chiffre romain', 'Pas un acronyme, c\'est du = de le : ""Du km… au km…""']"
